ID,IDF_num,name,Enlistment_Date_,Rank
353343650,41775,Evangelin,1989-02-09,Rav Aluf
858873709,577756,Walliw,2015-12-30,Samal Rishon
476745216,417301,Arlan,2016-12-13,Rav Turai
278413709,27127,Jesse,1993-08-30,Segen Mishneh
572888847,913619,Joshia,1987-11-28,Rav Seren
538200293,951408,Dedie,2017-06-25,Samal Rishon
861096098,419659,Rice,2001-04-13,Rav Turai
757334285,566029,Brandie,1980-01-21,Samal
509670721,32785,Otho,1995-01-30,Seren
756949281,531881,Rivkah,1982-05-03,Rav Turai
379370561,905982,Derwin,2004-05-15,Rav Seren
620670112,503705,Giffy,1983-11-18,Turai
787587330,294159,Elsinore,2020-07-08,Rav Aluf
7599704,323224,Horatio,2002-05-01,Turai
531484175,454664,Karylin,2006-09-20,Turai Rishon
512684306,131217,Hillard,2021-03-07,Rav Samal
951784274,720774,Ronni,2014-12-10,Turai Rishon
10319452,222193,Constantine,2004-04-23,Segen Rishon
301282487,456577,Rollins,2005-12-15,Rav Seren
479631212,549720,Elisabetta,2010-03-10,Samal Rishon
885876699,795071,Rogers,2003-11-13,Tat Aluf
486557210,40424,Tobye,1983-01-29,Aluf Mishne
506275431,399698,Rosemonde,1992-05-21,Rav Samal Mitkadem
614451967,161425,Herold,1995-01-18,Turai Rishon
580585940,329501,Sharleen,1988-05-11,Rav Seren
376376622,802611,Demott,2016-08-26,Turai Rishon
318224446,408286,Genevieve,1986-04-21,Aluf Mishne
312277675,967097,Magdalen,2003-10-31,Samal
999204542,418974,Ysabel,1991-12-18,Rav Aluf
907355170,669802,Vanni,1983-10-31,Sgan Aluf
880018909,410790,Claudian,1980-05-16,Aluf Mishne
711670666,737773,Nyssa,1999-07-24,Rav Turai
452410690,539400,Perry,2012-09-26,Sgan Aluf
355170089,142716,Consuelo,1993-12-27,Sgan Aluf
34887202,939306,Bronnie,1996-09-19,Samal Rishon
407473605,696797,Catha,2023-02-01,Rav Turai
29690111,771198,Hermione,1989-08-18,Rav Aluf
801184376,874519,Maris,1996-11-09,Samal
559298767,824054,Ginger,2022-01-15,Segen Rishon
375982357,707260,Martin,1987-05-12,Sgan Aluf
123980617,369992,Jessalin,2019-06-13,Segen
440460239,661756,Rodolfo,2010-10-30,Segen
973344811,803781,Vachel,1993-12-18,Turai Rishon
951528195,954544,Genni,2001-02-26,Tat Aluf
943649081,996174,Rozanne,2018-02-13,Samal Rishon
912128568,994101,Giavani,2014-04-09,Rav Samal
251206060,259704,Vinni,2012-05-16,Segen Rishon
942058810,302017,Vally,2004-08-19,Rav Turai
753222074,552409,Gilburt,2006-01-25,Samal
235962035,748686,Dyanna,1991-09-16,Rav Seren
350918762,81976,Mose,2014-05-11,Samal Rishon
410431241,695189,Trumann,2003-03-15,Turai
40173972,215640,Sapphire,1997-03-07,Segen Mishneh
193961069,823373,Ryon,1985-08-13,Samal
905285468,392939,Annette,1988-08-22,Rav Seren
150458420,372670,Marietta,2017-01-29,Turai
837214354,365041,Fredia,2016-08-16,Tat Aluf
111354105,212961,Victoria,2009-06-16,Samal
804048628,274531,Brandtr,2020-04-13,Segen Rishon
248583191,186399,Odo,1983-06-29,Turai Rishon
894902933,664966,Dulcine,2013-02-14,Aluf
118982735,365399,Boris,1980-02-29,Turai Rishon
307659308,563832,Candie,1981-12-15,Rav Samal Rishon
385633411,977258,Ardisj,2019-11-28,Tat Aluf
270614414,934357,Kiah,1999-03-31,Aluf Mishne
893730747,29790,Wilton,2005-09-07,Segen Mishneh
771062372,742587,Dyane,2015-12-21,Rav Aluf
685008059,666502,Pancho,2009-12-28,Rav Samal
507297289,222578,Nathaniel,2016-05-01,Turai Rishon
149082896,180386,Ivett,1980-09-22,Turai
203959567,610386,Avram,2010-03-27,Seren
665942247,612102,Bibbye,2010-06-15,Rav Samal
664965013,186416,Virginia,1986-09-22,Seren
